City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
3,Bonito,BR,79.61,overcast clouds,-21.1211,-56.4819,Marruá Hotel
5,Padang,ID,75.2,moderate rain,-0.9492,100.3543,Mercure Padang
12,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
14,Rikitea,PF,77.29,clear sky,-23.1203,-134.9692,Pension Maro'i
15,Tanout,NE,82.87,broken clouds,14.9709,8.8879,
23,Bandarbeyla,SO,77.72,broken clouds,9.4942,50.8122,JABIR HOTEL
26,Umarkot,PK,77.74,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
30,Tefe,BR,82.4,few clouds,-3.3542,-64.7114,Aracati Hotel
36,Meulaboh,ID,76.8,overcast clouds,4.1363,96.1285,Kost Pria
38,Yenagoa,NG,78.35,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
39,Bonthe,SL,79.2,moderate rain,7.5264,-12.505,Bonthe Holiday Village
43,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
44,Atambua,ID,75.7,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
45,Bud,US,77.0,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
46,San Policarpo,PH,78.89,broken clouds,12.1791,125.5072,JM Lodge
49,Atuona,PF,81.05,broken clouds,-9.8,-139.0333,Villa Enata
54,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
55,Mayumba,GA,78.55,overcast clouds,-3.432,10.6554,LIKWALE LODGE
58,Lebanon,US,80.6,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
64,Goure,NE,82.02,broken clouds,13.9835,10.2704,
67,Bambous Virieux,MU,77.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
73,Faanui,PF,80.65,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Manggar,ID,78.53,broken clouds,-2.8833,108.2667,Guest Hotel
76,Yarada,IN,78.8,mist,17.65,83.2667,Jeevan
78,Quatre Cocos,MU,77.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
81,Phulji,PK,77.22,clear sky,26.8825,67.6807,Village Hamza khan jamali
82,La Reforma,MX,87.01,few clouds,25.0833,-108.05,Arremar Angostura
83,Kavaratti,IN,82.63,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
89,Jalgaon,IN,83.59,clear sky,21.0167,75.5667,Hotel Plaza (BOOKING FOR FOREIGN TOURIST ONLY)
92,Ormara,PK,81.01,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
95,Labuhan,ID,77.5,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
97,Kavieng,PG,80.2,light rain,-2.5744,150.7967,Nusa Island Retreat
99,Sao Filipe,CV,75.22,clear sky,14.8961,-24.4956,Tortuga B&B
101,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
102,Touros,BR,80.6,clear sky,-5.1989,-35.4608,INN NEW HORIZON
109,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
114,Vieques,PR,78.8,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
118,Puerto Ayora,EC,80.6,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
120,Grand Gaube,MU,77.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
122,Vila Velha,BR,78.01,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
124,Kilindoni,TZ,80.35,moderate rain,-7.9139,39.6668,Bustani B&B
125,Ahuimanu,US,78.8,broken clouds,21.4447,-157.8378,Paradise Bay Resort
128,Port Blair,IN,79.9,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
129,Hithadhoo,MV,82.99,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Caxito,AO,78.8,moderate rain,-8.5785,13.6643,
132,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
133,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
134,Edd,ER,87.49,broken clouds,13.9297,41.6925,
142,Floresta,BR,79.93,few clouds,-8.6011,-38.5686,Hotel Floresta
147,Pochutla,MX,84.99,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
148,Mogadishu,SO,81.59,few clouds,2.0371,45.3438,Olympic Hotel
149,Carnarvon,AU,75.2,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
151,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
153,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
154,Zabid,YE,79.11,few clouds,14.1951,43.3152,دار الضيافة
155,Angoche,MZ,75.78,scattered clouds,-16.2325,39.9086,Guest House HESADA
156,San Angelo,US,87.8,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
157,Cam Ranh,VN,77.0,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
158,Houma,US,79.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
159,Manokwari,ID,80.02,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
163,Bonfim,BR,75.2,moderate rain,3.0833,-59.95,
165,Nautla,MX,79.54,broken clouds,20.2167,-96.7833,Casa Blanca
166,Nabire,ID,78.03,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
167,Eydhafushi,MV,83.48,overcast clouds,5.1033,73.0708,Soneva Fushi
169,Wukari,NG,84.51,overcast clouds,7.85,9.7833,Elimtop
171,Coahuayana,MX,80.6,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
172,San Patricio,US,79.0,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
176,Pocri,PA,89.6,scattered clouds,8.2667,-80.55,Residencial D Cache
181,Arraial Do Cabo,BR,77.0,heavy intensity rain,-22.9661,-42.0278,Pousada Porto Praia
183,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
185,Bani,DO,75.2,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
188,Am Timan,TD,87.42,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
190,Luganville,VU,82.54,broken clouds,-15.5333,167.1667,The Espiritu Hotel
197,Vao,NC,75.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
199,Maryville,US,77.0,few clouds,35.7565,-83.9705,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
205,Pitimbu,BR,78.8,clear sky,-7.4706,-34.8086,Reserva do Abiaí
207,Sambava,MG,77.34,light rain,-14.2667,50.1667,Melrose
210,Kieta,PG,81.14,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
212,Sao Paulo De Olivenca,BR,75.2,broken clouds,-3.3783,-68.8725,
213,Khargone,IN,83.53,clear sky,21.8167,75.6,Vallabha Hotel
214,Puebloviejo,CO,87.8,broken clouds,10.9938,-74.2844,The Journey Hostel
216,Laguna,US,77.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
217,Isangel,VU,84.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
220,Morrope,PE,82.0,broken clouds,-6.5417,-80.0111,Hipolito santamaria
221,Champerico,GT,89.6,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
227,Porto Novo,BJ,75.2,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
234,Sojat,IN,77.41,clear sky,25.9167,73.6667,Mahendi Nagari Sojat City
243,Lorengau,PG,83.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
246,Maragogi,BR,78.17,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
247,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
248,Clarksdale,US,78.8,broken clouds,34.2001,-90.5709,Americas Best Value Inn & Suites
251,Pangai,TO,82.4,few clouds,-19.8,-174.35,Ha'apai Beach Resort
255,Koulikoro,ML,84.87,clear sky,14.0,-7.75,
268,Garissa,KE,80.4,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
272,Pak Phanang,TH,79.72,broken clouds,8.3511,100.202,Green Park Inn Hotel
276,Cap Malheureux,MU,77.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
281,Mattru,SL,75.61,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
282,Sola,VU,82.4,few clouds,-13.8833,167.55,Leumerus Bungalows
283,Russell,US,80.6,clear sky,32.3502,-85.1999,Macs
284,Salinopolis,BR,79.77,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
290,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
294,Mercedes,AR,77.0,few clouds,-34.6515,-59.4307,Posada del Inti Centro
295,Bontang,ID,77.49,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
298,Butaritari,KI,79.95,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
299,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
300,Port-Gentil,GA,77.0,few clouds,-0.7193,8.7815,Fengshui Residence
301,Gangapur,IN,79.75,clear sky,26.4833,76.7167,Hotel Haveli
306,Moundou,TD,86.92,scattered clouds,8.5667,16.0833,Planete Life
307,Flic En Flac,MU,77.0,light rain,-20.2742,57.3631,Hilton Mauritius Resort & Spa
308,Lazaro Cardenas,MX,83.17,clear sky,17.9583,-102.2,Hotel Quinta Antigua
314,Ternate,ID,81.05,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
320,Mount Isa,AU,78.8,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
