City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-04-04 18:30:21,71.2906,-156.7887,-9.4,77,1,13.8
1,Kamenka,RU,2021-04-04 18:30:22,51.3223,42.7678,39.0,84,98,5.57
2,Ostrovnoy,RU,2021-04-04 18:30:22,68.0531,39.5131,31.69,91,100,19.26
3,Banjar,ID,2021-04-04 18:30:22,-8.19,114.9675,82.4,78,40,5.75
4,Mazarron,ES,2021-04-04 18:30:23,37.5992,-1.3149,63.0,72,75,12.66
5,Sistranda,NO,2021-04-04 18:30:23,63.7256,8.834,35.6,69,75,25.32
6,Victoria,HK,2021-04-04 18:26:27,22.2855,114.1577,73.0,88,97,1.99
7,Pisco,PE,2021-04-04 18:30:24,-13.7,-76.2167,78.8,61,0,10.36
8,Lethem,GY,2021-04-04 18:30:24,3.3803,-59.7968,86.86,60,98,12.12
9,Malartic,CA,2021-04-04 18:30:08,48.1335,-78.1328,44.6,61,40,8.05
10,Kapaa,US,2021-04-04 18:30:24,22.0752,-159.319,75.2,60,75,18.41
11,Bredasdorp,ZA,2021-04-04 18:30:25,-34.5322,20.0403,66.2,82,100,3.44
12,Mataura,NZ,2021-04-04 18:30:25,-46.1927,168.8643,57.0,73,100,11.99
13,Albany,US,2021-04-04 18:30:02,42.6001,-73.9662,57.0,27,14,1.99
14,Manokwari,ID,2021-04-04 18:30:25,-0.8667,134.0833,79.11,80,100,5.46
15,Mbarara,UG,2021-04-04 18:30:26,-0.608,30.65,64.33,92,100,5.41
16,Pacific Grove,US,2021-04-04 18:30:13,36.6177,-121.9166,57.99,62,1,11.5
17,Grand Gaube,MU,2021-04-04 18:26:55,-20.0064,57.6608,81.0,75,6,7.0
18,Elizabeth City,US,2021-04-04 18:30:27,36.2946,-76.2511,72.0,26,1,8.05
19,Poum,NC,2021-04-04 18:30:27,-20.2333,164.0167,78.6,76,80,23.6
20,Atuona,PF,2021-04-04 18:30:27,-9.8,-139.0333,80.46,81,36,11.1
